title,first_name,last_name,emp_no,from_date,salary,birth_date
Senior Engineer,Diederik,Siprelle,10134,1987-12-12,40000,1953-04-15
Engineer,Perry,Shimshoni,10138,1992-03-03,53574,1955-04-24
Senior Engineer,Perry,Shimshoni,10138,1992-03-03,53574,1955-04-24
Staff,Xiadong,Perry,10149,1994-01-28,88740,1953-05-20
Engineer,Zhenbing,Perng,10150,1986-11-16,70122,1955-01-29
Senior Engineer,Zhenbing,Perng,10150,1986-11-16,70122,1955-01-29
Engineer,Jaques,Munro,10152,1986-01-27,40000,1954-12-01
Assistant Engineer,Heekeun,Majewski,10153,2000-01-08,54246,1955-12-15
Senior Engineer,Nigel,Aloisi,10157,1997-12-10,48770,1954-04-23
Engineer,Hairong,Mellouli,10161,1991-06-09,43149,1953-04-06
Staff,Shigehito,Kropatsch,10186,1996-12-25,40000,1953-07-16
Engineer,Pranav,Furedi,10198,1985-08-31,44076,1953-05-28
Senior Engineer,Pranav,Furedi,10198,1985-08-31,44076,1953-05-28
Senior Staff,Xiaobin,Duclos,10215,1991-11-23,43944,1954-04-02
Technique Leader,Yongmin,Roison,10217,1986-05-12,40000,1954-07-07
Engineer,Leon,Trogemann,10224,1988-01-09,40000,1954-05-17
Senior Engineer,Leon,Trogemann,10224,1988-01-09,40000,1954-05-17
Engineer,Ulises,Takanami,10229,1996-02-20,58321,1952-02-10
Senior Staff,Lein,Vendrig,10233,1994-04-29,40000,1954-04-01
Staff,Lein,Vendrig,10233,1994-04-29,40000,1954-04-01
Assistant Engineer,Basil,Ishibashi,10258,1985-05-17,66280,1955-12-12
Engineer,Basil,Ishibashi,10258,1985-05-17,66280,1955-12-12
Senior Engineer,Basil,Ishibashi,10258,1985-05-17,66280,1955-12-12
Staff,Yishai,Cannane,10272,1997-10-23,58070,1954-11-30
Assistant Engineer,Hercules,Benzmuller,10282,1996-05-02,40000,1953-11-27
Engineer,Hercules,Benzmuller,10282,1996-05-02,40000,1953-11-27
Engineer,Kauko,Birjandi,10283,1988-05-25,40000,1953-07-08
Senior Engineer,Kauko,Birjandi,10283,1988-05-25,40000,1953-07-08
Staff,Saddek,Gopalakrishnan,10286,1994-12-24,40000,1952-05-14
Senior Staff,Faiza,Baer,10302,1986-07-22,58239,1954-10-11
Staff,Faiza,Baer,10302,1986-07-22,58239,1954-10-11
Engineer,Hirochika,Piancastelli,10305,1988-10-31,52550,1952-06-30
Staff,Masali,Czap,10326,1998-09-02,40000,1953-02-13
Engineer,Roded,Facello,10327,1987-09-18,54734,1954-04-01
Senior Staff,Djelloul,Laventhal,10340,1988-03-30,68132,1952-08-20
Staff,Djelloul,Laventhal,10340,1988-03-30,68132,1952-08-20
Staff,Pradeep,Kaminger,10347,1998-02-20,42199,1953-10-03
Staff,Satyanarayana,Cochrane,10355,1996-01-26,70434,1952-12-10
Senior Staff,Vasilis,Standera,10356,1995-06-26,45376,1952-08-12
Assistant Engineer,Toshiki,Muniz,10363,1985-09-11,40401,1953-11-28
Senior Engineer,Nakhoon,Dengi,10364,1985-11-14,51401,1954-09-21
Technique Leader,Anneli,Frijda,10372,1985-07-30,54505,1952-04-08
Senior Staff,Parto,Wrigley,10387,1994-01-07,61374,1952-11-03
Staff,Parto,Wrigley,10387,1994-01-07,61374,1952-11-03
Engineer,Takahiro,Deverell,10395,1998-08-10,42774,1952-02-17
Senior Engineer,Sibyl,Rahier,10396,1986-01-11,40393,1955-08-21
Technique Leader,Volkmar,Ebeling,10402,1987-01-02,40000,1953-07-23
Engineer,Prodip,Rosti,10404,1988-08-28,51647,1955-04-27
Senior Engineer,Prodip,Rosti,10404,1988-08-28,51647,1955-04-27
Technique Leader,Arunas,Luce,10426,1985-07-06,65757,1955-12-28
Senior Engineer,Martien,Improta,10429,1988-09-23,40000,1952-02-13
Senior Staff,Hisao,Tiemann,10432,1990-08-13,40000,1953-11-06
Staff,Hisao,Tiemann,10432,1990-08-13,40000,1953-11-06
Senior Staff,Volkmar,Unno,10442,1992-02-12,46005,1955-09-09
Staff,Volkmar,Unno,10442,1992-02-12,46005,1955-09-09
Assistant Engineer,Bodh,Ranta,10451,1988-03-12,46275,1952-10-06
Engineer,Bodh,Ranta,10451,1988-03-12,46275,1952-10-06
Senior Engineer,Bodh,Ranta,10451,1988-03-12,46275,1952-10-06
Senior Staff,Tsvetan,Matzel,10453,1985-04-02,40000,1953-07-19
Staff,Tsvetan,Matzel,10453,1985-04-02,40000,1953-07-19
Staff,Ung,Zaiane,10463,1994-02-17,66480,1954-05-20
Staff,Jiakeng,Himler,10466,1997-08-22,55318,1954-12-25
Engineer,Amstein,Kossowski,10486,1987-10-08,71692,1952-08-24
Senior Engineer,Amstein,Kossowski,10486,1987-10-08,71692,1952-08-24
Engineer,Yakkov,Servieres,10494,1991-12-18,50094,1953-12-21
Senior Engineer,Yakkov,Servieres,10494,1991-12-18,50094,1953-12-21
Staff,Xiong,Varker,10504,1999-10-19,43931,1953-04-07
Senior Staff,Udi,Gihr,10512,1989-11-28,40000,1955-11-16
Staff,Udi,Gihr,10512,1989-11-28,40000,1955-11-16
Senior Staff,Yonghoan,Alencar,10519,1992-12-05,40000,1955-12-28
Staff,Yonghoan,Alencar,10519,1992-12-05,40000,1955-12-28
Senior Staff,Marke,Cesareni,10522,1986-12-12,40000,1955-07-24
Staff,Marke,Cesareni,10522,1986-12-12,40000,1955-07-24
Senior Engineer,Przemyslawa,Falby,10538,1987-07-23,72002,1955-08-18
Staff,Godehard,Eiter,10541,1986-02-28,50741,1955-11-05
Senior Staff,Ramalingam,Gunderson,10548,1986-07-04,90631,1952-06-12
Staff,Ramalingam,Gunderson,10548,1986-07-04,90631,1952-06-12
Engineer,Jianhao,Thisen,10564,1995-11-23,46660,1955-04-14
Senior Engineer,Jianhao,Thisen,10564,1995-11-23,46660,1955-04-14
Senior Engineer,Theirry,Yeung,10575,1988-10-04,40523,1954-06-29
Staff,Hidde,Hettesheimer,10591,1987-06-18,55131,1952-12-22
Senior Engineer,Adhemar,Talmor,10608,1986-05-25,40000,1955-07-11
Senior Staff,Hidekazu,Angel,10617,1991-10-30,40000,1955-01-26
Engineer,Aleksander,Danlos,10623,1992-01-15,60268,1953-07-11
Senior Engineer,Aleksander,Danlos,10623,1992-01-15,60268,1953-07-11
Assistant Engineer,Krisda,Krogh,10628,1987-03-14,41650,1954-04-18
Engineer,Krisda,Krogh,10628,1987-03-14,41650,1954-04-18
Senior Engineer,Krisda,Krogh,10628,1987-03-14,41650,1954-04-18
Staff,Lalit,Francisci,10629,1999-10-20,87045,1954-03-23
Engineer,Inderjeet,Chaudhuri,10631,1994-10-18,40000,1955-05-17
Engineer,Hirochika,Narlikar,10642,1998-10-05,40000,1955-12-19
Senior Engineer,Otmar,Feinberg,10653,1987-04-30,40000,1953-06-16
Senior Staff,Parviz,Rebaine,10671,1995-09-14,74037,1953-06-12
Staff,Parviz,Rebaine,10671,1995-09-14,74037,1953-06-12
Senior Engineer,Bluma,Zeilberger,10672,1991-09-29,64663,1954-03-23
Engineer,Valeri,Danley,10676,1999-09-04,58226,1953-08-26
Senior Staff,Berhard,Daescu,10693,1986-01-08,40000,1953-12-14
Staff,Berhard,Daescu,10693,1986-01-08,40000,1953-12-14
Senior Staff,Rildo,Straney,10694,1988-01-26,53020,1955-12-16
Staff,Rildo,Straney,10694,1988-01-26,53020,1955-12-16
Senior Engineer,Bader,Szemeredi,10702,1991-01-14,46581,1952-11-25
Engineer,Adib,Rullman,10718,1988-07-21,75473,1955-12-19
Senior Engineer,Adib,Rullman,10718,1988-07-21,75473,1955-12-19
Engineer,Zita,Minakawa,10726,1992-02-25,46315,1954-01-11
Senior Engineer,Zita,Minakawa,10726,1992-02-25,46315,1954-01-11
Senior Staff,Fumitaka,Peak,10731,1987-02-20,77892,1952-11-17
Staff,Fumitaka,Peak,10731,1987-02-20,77892,1952-11-17
Engineer,Sachar,Erdi,10734,1995-12-19,47377,1954-07-06
Engineer,Poorav,Ranze,10745,1988-01-23,40000,1953-10-23
Senior Engineer,Poorav,Ranze,10745,1988-01-23,40000,1953-10-23
Engineer,King,Brendel,10749,1985-09-26,60829,1955-08-21
Senior Engineer,King,Brendel,10749,1985-09-26,60829,1955-08-21
Engineer,Jordanka,Ushiama,10751,1999-12-14,50052,1952-12-02
Staff,Monique,Doering,10767,1997-07-15,40651,1954-02-28
Engineer,Ishfaq,Candan,10768,1985-07-04,65717,1955-06-24
Senior Engineer,Ishfaq,Candan,10768,1985-07-04,65717,1955-06-24
Engineer,Mizuhito,Kemmerer,10777,1990-03-17,40000,1955-08-11
Senior Engineer,Mizuhito,Kemmerer,10777,1990-03-17,40000,1955-08-11
Senior Staff,Selwyn,Merey,10778,1986-07-04,64996,1953-03-13
Engineer,Tadahiko,Sgarro,10791,1988-07-30,40000,1954-05-27
Senior Engineer,Tadahiko,Sgarro,10791,1988-07-30,40000,1954-05-27
Senior Staff,Supot,Naudin,10795,1993-05-03,84206,1954-12-14
Staff,Supot,Naudin,10795,1993-05-03,84206,1954-12-14
Engineer,Katsuyuki,Velasco,10803,1988-04-20,54260,1952-09-15
Senior Engineer,Katsuyuki,Velasco,10803,1988-04-20,54260,1952-09-15
Senior Engineer,Chenxi,Leijenhorst,10808,1987-03-07,40000,1955-09-11
Engineer,Tomoyuki,Kermarrec,10835,1995-08-22,40000,1952-11-23
Senior Staff,Jianhua,Leivant,10836,1987-08-10,65502,1953-07-15
Engineer,Dipayan,Koprowski,10844,1997-04-25,40000,1954-02-03
Senior Staff,Theirry,Danley,10847,1986-07-25,40000,1952-03-04
Staff,Theirry,Danley,10847,1986-07-25,40000,1952-03-04
Engineer,Fen,Bratsberg,10848,1985-04-20,50475,1954-07-16
Senior Engineer,Fen,Bratsberg,10848,1985-04-20,50475,1954-07-16
Engineer,Billur,Gyorkos,10867,1997-03-23,40000,1952-10-01
Staff,Lakshmi,Deville,10878,1997-04-25,72102,1952-06-13
Senior Engineer,Muzhong,Chleq,10879,1985-08-15,65651,1953-08-18
Engineer,Shimshon,Champarnaud,10883,1996-12-28,40000,1952-07-30
Staff,Vishwani,Petersohn,10895,1986-04-26,67103,1952-03-21
Engineer,Georgi,Atchley,10909,1993-12-26,80935,1954-11-11
Senior Engineer,Georgi,Atchley,10909,1993-12-26,80935,1954-11-11
Senior Staff,Oscal,Fasbender,10912,1986-04-23,45665,1952-07-27
Staff,Oscal,Fasbender,10912,1986-04-23,45665,1952-07-27
Staff,Susumu,Reghbati,10918,1990-01-29,59521,1954-12-26
Engineer,Mara,Bahi,10921,1986-07-27,72601,1955-07-20
Senior Engineer,Mara,Bahi,10921,1986-07-27,72601,1955-07-20
Senior Staff,Hironoby,Atchley,10924,1988-08-14,84783,1954-04-27
Staff,Hironoby,Atchley,10924,1988-08-14,84783,1954-04-27
Senior Staff,Gal,Scallan,10927,1986-09-12,51819,1953-03-13
Staff,Gal,Scallan,10927,1986-09-12,51819,1953-03-13
Senior Staff,Mountaz,Schicker,10936,1990-05-09,40000,1953-04-08
Staff,Mountaz,Schicker,10936,1990-05-09,40000,1953-04-08
Engineer,Berna,Skafidas,10943,1993-05-22,45890,1955-11-19
Senior Engineer,Berna,Skafidas,10943,1993-05-22,45890,1955-11-19
Senior Staff,Eckart,Braunschweig,10965,1986-07-29,61654,1955-07-10
Senior Engineer,Premal,Noriega,10969,1994-05-12,40000,1954-09-05
Senior Engineer,Muneo,Papsdorf,10974,1999-05-17,56005,1952-03-07
Technique Leader,Masako,Schiper,10986,1985-10-11,43900,1954-08-11
Senior Engineer,Chinya,Deyuan,10988,1985-06-19,54174,1955-06-24
Senior Staff,Sumali,Candan,10989,1985-07-20,46406,1954-09-08
Staff,Sumali,Candan,10989,1985-07-20,46406,1954-09-08
Technique Leader,Shin,Foote,10990,1990-08-06,40000,1954-10-22
Senior Staff,Alper,Axelband,11009,1986-09-09,75111,1954-08-30
Staff,Alper,Axelband,11009,1986-09-09,75111,1954-08-30
Staff,Taegyun,Speckmann,11012,1996-07-06,72092,1953-09-12
Engineer,Leon,Huttel,11019,1992-05-24,69387,1954-09-06
Senior Engineer,Leon,Huttel,11019,1992-05-24,69387,1954-09-06
Staff,Srinidhi,Henders,11021,1998-02-02,62670,1954-07-13
Assistant Engineer,Remzi,Cappello,11027,1986-05-07,40000,1955-12-13
Engineer,Remzi,Cappello,11027,1986-05-07,40000,1955-12-13
Senior Engineer,Remzi,Cappello,11027,1986-05-07,40000,1955-12-13
Engineer,Miyeon,Krider,11028,1986-06-18,41111,1952-02-23
Senior Engineer,Miyeon,Krider,11028,1986-06-18,41111,1952-02-23
Senior Staff,Ottavia,Walstra,11031,1985-10-24,71654,1954-12-20
Staff,Ottavia,Walstra,11031,1985-10-24,71654,1954-12-20
Engineer,Lansing,Maliniak,11037,1988-01-28,40000,1952-05-22
Senior Engineer,Lansing,Maliniak,11037,1988-01-28,40000,1952-05-22
Senior Staff,Jinya,Beidas,11038,1985-07-15,44993,1955-10-13
Staff,Jinya,Beidas,11038,1985-07-15,44993,1955-10-13
Engineer,Gou,Breugel,11042,1993-06-21,40000,1955-07-13
Senior Engineer,Gou,Breugel,11042,1993-06-21,40000,1955-07-13
Senior Staff,Jaques,Demke,11048,1999-05-27,65697,1952-10-26
Senior Staff,Elvis,Katiyar,11050,1986-05-06,52251,1952-09-23
Staff,Elvis,Katiyar,11050,1986-05-06,52251,1952-09-23
Engineer,Przemyslawa,Erol,11051,1991-03-27,40000,1952-10-06
Senior Engineer,Przemyslawa,Erol,11051,1991-03-27,40000,1952-10-06
Engineer,Adib,Raney,11070,1985-07-24,40000,1952-06-30
Senior Engineer,Adib,Raney,11070,1985-07-24,40000,1952-06-30
Senior Staff,Barry,Boyle,11081,1985-06-17,65686,1952-06-20
Staff,Barry,Boyle,11081,1985-06-17,65686,1952-06-20
Senior Engineer,Hailing,Thummel,11085,1996-02-10,66437,1953-09-08
Senior Staff,Berna,Cochrane,11100,1986-10-13,40000,1955-10-14
Staff,Berna,Cochrane,11100,1986-10-13,40000,1955-10-14
Assistant Engineer,Aris,Iwayama,11106,1985-08-31,71446,1955-02-23
Engineer,Aris,Iwayama,11106,1985-08-31,71446,1955-02-23
Senior Engineer,Aris,Iwayama,11106,1985-08-31,71446,1955-02-23
Staff,Valeska,Birjandi,11110,1987-11-14,43063,1955-12-11
Staff,Boaz,Mukaidono,11112,1995-04-28,40000,1954-08-05
Senior Staff,Shahab,Peng,11113,1985-11-30,66401,1953-04-28
Staff,Shahab,Peng,11113,1985-11-30,66401,1953-04-28
Engineer,Vugranam,Kakkad,11121,1992-10-31,40000,1953-02-13
Senior Engineer,Vugranam,Kakkad,11121,1992-10-31,40000,1953-02-13
Technique Leader,Nalini,Azulay,11133,1994-03-06,40000,1955-12-13
Engineer,Sachar,Rajcani,11134,1993-05-19,58731,1954-05-15
Senior Engineer,Sachar,Rajcani,11134,1993-05-19,58731,1954-05-15
Engineer,Hugh,Luca,11137,1995-03-16,40000,1955-03-17
Senior Staff,Bogdan,Homond,11139,1990-05-11,63596,1955-10-13
Staff,Bogdan,Homond,11139,1990-05-11,63596,1955-10-13
Senior Staff,Ishfaq,Masand,11146,1991-08-22,96019,1954-06-25
Staff,Ishfaq,Masand,11146,1991-08-22,96019,1954-06-25
Senior Staff,Zhanqiu,Botman,11148,1990-02-08,56344,1953-01-23
Staff,Zhanqiu,Botman,11148,1990-02-08,56344,1953-01-23
Engineer,Kauko,Narlikar,11162,1985-03-28,69873,1953-03-25
Senior Engineer,Kauko,Narlikar,11162,1985-03-28,69873,1953-03-25
Engineer,Mitsuyuki,Bojadziev,11180,1986-06-11,40000,1952-11-07
Senior Engineer,Mitsuyuki,Bojadziev,11180,1986-06-11,40000,1952-11-07
Senior Staff,Tadahiro,Fordan,11197,1989-09-12,88741,1955-05-11
Senior Staff,Sakthirel,Yetto,11203,1988-01-06,68049,1952-06-24
Staff,Sakthirel,Yetto,11203,1988-01-06,68049,1952-06-24
Technique Leader,Diederik,Covnot,11204,1985-09-18,40000,1955-12-15
Engineer,Saeed,Gips,11207,1999-01-31,49728,1955-08-14
Technique Leader,Saniya,Valtorta,11208,1994-11-17,83660,1952-05-29
Senior Engineer,Yurij,Rissland,11211,1985-09-17,72668,1952-12-11
Senior Engineer,Kellie,Mawatari,11217,1990-03-11,40000,1954-07-01
Senior Staff,Hidefumi,Crelier,11232,1994-08-02,43863,1955-09-03
Staff,Hidefumi,Crelier,11232,1994-08-02,43863,1955-09-03
Assistant Engineer,Kiam,Condotta,11240,1989-01-06,61739,1955-08-12
Engineer,Kiam,Condotta,11240,1989-01-06,61739,1955-08-12
Assistant Engineer,Randi,Cyre,11249,1986-09-22,43324,1954-10-01
Engineer,Randi,Cyre,11249,1986-09-22,43324,1954-10-01
Senior Staff,Bezalel,Chinal,11251,1986-06-15,69432,1955-10-16
Staff,Bezalel,Chinal,11251,1986-06-15,69432,1955-10-16
Engineer,Aimee,Petersohn,11268,1987-10-25,40000,1954-05-14
Senior Engineer,Aimee,Petersohn,11268,1987-10-25,40000,1954-05-14
Engineer,Hitomi,Eppinger,11275,1989-04-25,58382,1955-10-18
Senior Engineer,Hitomi,Eppinger,11275,1989-04-25,58382,1955-10-18
Engineer,Visit,Dredge,11290,1999-05-13,65034,1953-05-07
Senior Engineer,Gino,Glowinski,11291,1985-10-20,54307,1953-11-01
Senior Staff,Abdelkader,Lanzelotte,11295,1985-05-15,66622,1953-02-03
Staff,Abdelkader,Lanzelotte,11295,1985-05-15,66622,1953-02-03
Assistant Engineer,Pranas,Marrakchi,11319,1998-11-01,40000,1955-06-05
Senior Staff,Atilio,McAlpine,11320,1990-04-06,45118,1954-04-13
Staff,Atilio,McAlpine,11320,1990-04-06,45118,1954-04-13
Assistant Engineer,Nathalie,Pocchiola,11322,1985-07-07,43021,1952-07-19
Engineer,Nathalie,Pocchiola,11322,1985-07-07,43021,1952-07-19
Senior Engineer,Nathalie,Pocchiola,11322,1985-07-07,43021,1952-07-19
Senior Engineer,Kauko,Billingsley,11324,1985-08-29,54288,1953-11-16
Senior Staff,Kwangsub,Hanratty,11338,1998-10-28,82210,1954-11-03
Senior Engineer,Flemming,Massonet,11339,1989-12-19,40000,1954-06-05
Engineer,Anneli,Jonsson,11347,1986-04-20,41524,1954-12-27
Senior Engineer,Anneli,Jonsson,11347,1986-04-20,41524,1954-12-27
Engineer,Toshimi,Shinomoto,11365,1997-12-18,56463,1953-11-17
Senior Staff,Valery,Suomi,11376,1986-03-14,46964,1952-03-10
Staff,Valery,Suomi,11376,1986-03-14,46964,1952-03-10
Assistant Engineer,Kenroku,Pelc,11380,1991-04-19,53345,1952-04-23
Engineer,Kenroku,Pelc,11380,1991-04-19,53345,1952-04-23
Senior Engineer,Kenroku,Pelc,11380,1991-04-19,53345,1952-04-23
Engineer,Shiv,Ullian,11385,1999-08-08,40000,1952-03-04
Engineer,Alselm,Assaf,11386,1987-11-30,47726,1954-09-27
Senior Engineer,Alselm,Assaf,11386,1987-11-30,47726,1954-09-27
Engineer,Junsik,Junot,11393,1985-04-30,40000,1954-05-17
Senior Engineer,Junsik,Junot,11393,1985-04-30,40000,1954-05-17
Senior Staff,Oscar,Peir,11398,1994-09-07,44625,1953-05-30
Staff,Oscar,Peir,11398,1994-09-07,44625,1953-05-30
Technique Leader,Bedrich,Borovoy,11404,1990-09-25,42907,1954-09-15
Engineer,Sanjiv,Anido,11415,1996-12-07,40000,1953-10-29
Engineer,Josyula,Msuda,11421,1986-09-02,52416,1953-11-07
Senior Engineer,Josyula,Msuda,11421,1986-09-02,52416,1953-11-07
Senior Staff,Youngkon,Picht,11431,1985-09-16,44804,1954-08-05
Staff,Youngkon,Picht,11431,1985-09-16,44804,1954-08-05
Senior Staff,Marlo,Aingworth,11441,1987-03-27,67352,1954-11-16
Engineer,Kotesh,Asser,11449,1995-02-03,61434,1955-03-30
Senior Engineer,Kotesh,Asser,11449,1995-02-03,61434,1955-03-30
Senior Staff,Duke,Suomi,11459,1986-05-03,40000,1953-10-14
Staff,Duke,Suomi,11459,1986-05-03,40000,1953-10-14
Engineer,Kish,Cronau,11461,1986-08-19,49398,1955-04-18
Senior Engineer,Kish,Cronau,11461,1986-08-19,49398,1955-04-18
Engineer,Guttorm,Giaccio,11469,1994-09-08,44625,1952-12-01
Senior Engineer,Guttorm,Giaccio,11469,1994-09-08,44625,1952-12-01
Engineer,Fox,Narahari,11477,1996-07-28,40000,1955-05-15
Senior Staff,Karsten,Ranum,11501,1991-10-24,48608,1952-03-26
Staff,Karsten,Ranum,11501,1991-10-24,48608,1952-03-26
Staff,Rance,Picel,11506,1996-04-08,89747,1955-06-16
Engineer,Aleksander,Feldhoffer,11509,1987-11-12,40000,1954-06-18
Senior Engineer,Aleksander,Feldhoffer,11509,1987-11-12,40000,1954-06-18
Senior Staff,Otmar,Mahnke,11513,1992-08-25,82525,1954-07-16
Staff,Otmar,Mahnke,11513,1992-08-25,82525,1954-07-16
Staff,Ulf,Basawa,11515,1998-09-21,70182,1955-03-03
Senior Staff,Jinxi,Oxman,11518,1994-09-22,40000,1953-07-21
Staff,Jinxi,Oxman,11518,1994-09-22,40000,1953-07-21
Senior Engineer,Xiadong,Standera,11524,1996-07-05,41081,1955-10-26
Staff,Alagu,Boyle,11527,1999-01-28,60212,1952-02-06
Technique Leader,Zito,Dolinsky,11528,1987-06-15,44026,1955-04-26
Senior Staff,DAIDA,Pehl,11537,1986-07-06,96023,1955-06-29
Staff,Subhash,Taubenfeld,11554,1998-07-15,46065,1955-05-28
Senior Staff,Kotesh,Perfilyeva,11555,1986-10-14,40000,1955-08-05
Staff,Kotesh,Perfilyeva,11555,1986-10-14,40000,1955-08-05
Engineer,Rimli,Alencar,11562,1988-06-30,82255,1953-06-22
Senior Staff,Teiji,Mitzlaff,11567,1988-02-03,86261,1954-07-06
Staff,Teiji,Mitzlaff,11567,1988-02-03,86261,1954-07-06
Engineer,Martins,Fujisaki,11568,1992-03-13,54673,1955-12-01
Senior Engineer,Martins,Fujisaki,11568,1992-03-13,54673,1955-12-01
Engineer,Edwin,Rosti,11578,1985-11-22,40000,1953-12-22
Senior Engineer,Edwin,Rosti,11578,1985-11-22,40000,1953-12-22
Senior Staff,Kaijung,Panangaden,11588,1994-12-24,40000,1952-07-20
Senior Staff,Herb,Swen,11603,1985-04-13,69180,1954-12-07
Staff,Herb,Swen,11603,1985-04-13,69180,1954-12-07
Engineer,Tomokazu,Foong,11607,1995-04-19,49584,1953-12-03
Senior Staff,Shem,Isaak,11615,1991-08-29,46591,1955-03-05
Staff,Shem,Isaak,11615,1991-08-29,46591,1955-03-05
Engineer,Adil,Gammage,11624,1989-07-15,42001,1955-05-16
Senior Engineer,Adil,Gammage,11624,1989-07-15,42001,1955-05-16
Engineer,Fan,Malinowski,11628,1988-10-23,43966,1952-02-14
Senior Engineer,Fan,Malinowski,11628,1988-10-23,43966,1952-02-14
Senior Engineer,Valeri,Coorg,11640,1988-09-26,52520,1953-10-06
Engineer,Magy,Nitsche,11647,1988-05-11,40000,1953-10-13
Senior Engineer,Magy,Nitsche,11647,1988-05-11,40000,1953-10-13
Senior Staff,Gill,Stenning,11660,1986-11-22,65758,1955-07-19
Staff,Gill,Stenning,11660,1986-11-22,65758,1955-07-19
Technique Leader,Henk,Felder,11673,1989-06-10,40000,1954-12-20
Engineer,Valeri,Ferriere,11676,1998-07-15,43310,1952-04-12
Engineer,Fumitake,Benzmuller,11681,1988-08-27,40000,1952-05-15
Senior Engineer,Fumitake,Benzmuller,11681,1988-08-27,40000,1952-05-15
Senior Staff,Oksana,Gide,11684,1986-02-21,68753,1953-03-07
Staff,Oksana,Gide,11684,1986-02-21,68753,1953-03-07
Senior Staff,Dante,Rothe,11696,1985-10-23,51633,1954-10-26
Staff,Dante,Rothe,11696,1985-10-23,51633,1954-10-26
Senior Staff,Arve,Hofmeyr,11705,1985-10-30,79701,1954-11-26
Staff,Arve,Hofmeyr,11705,1985-10-30,79701,1954-11-26
Senior Engineer,Sanjoy,Ranft,11732,1996-12-22,40000,1955-06-14
Senior Staff,Amalendu,Picci,11735,1988-07-14,40000,1955-02-19
Staff,Amalendu,Picci,11735,1988-07-14,40000,1955-02-19
Engineer,Tadahiro,Lichtman,11738,1986-06-19,58432,1954-12-13
Senior Engineer,Tadahiro,Lichtman,11738,1986-06-19,58432,1954-12-13
Senior Staff,Koichi,Marrakchi,11746,1988-11-17,55951,1952-05-22
Staff,Koichi,Marrakchi,11746,1988-11-17,55951,1952-05-22
Senior Staff,Aksel,Kossowski,11747,1986-02-20,90239,1953-11-27
Staff,Aksel,Kossowski,11747,1986-02-20,90239,1953-11-27
Senior Staff,Jiafu,Emiris,11751,1988-11-03,40000,1953-02-02
Staff,Jiafu,Emiris,11751,1988-11-03,40000,1953-02-02
Engineer,Sanjay,Anick,11764,1991-12-16,64875,1953-04-22
Senior Engineer,Sanjay,Anick,11764,1991-12-16,64875,1953-04-22
Senior Staff,Chandrasekaran,Lampe,11769,1993-10-22,40000,1953-07-17
Staff,Chandrasekaran,Lampe,11769,1993-10-22,40000,1953-07-17
Engineer,Gaurav,Penz,11772,1999-11-07,61295,1954-06-19
Senior Staff,Chenxi,Thambidurai,11797,1988-08-30,88050,1954-08-12
